id,screen_id,image_path,instruction,tags,image_width,image_height,bbox_px,pred_px,pred_py,hit,parse_ok,raw_response,prompt_tokens,completion_tokens,total_tokens,steps,rag_context
g_home_search_box,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Where do I type a product query on the storefront?,"search,home",1280,720,"[962, 71, 1212, 103]",965,83,True,True,"(965, 83)",1343,10,1353,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_home_search_submit,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Submit the header search after entering keywords.,"search,home",1280,720,"[1180, 71, 1202, 103]",1195,86,True,True,"(1195, 86)",1340,11,1351,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_home_advanced_search,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Open the page with extra search filters beyond the header box.,"search,home",1280,720,"[962, 108, 1074, 127]",1023,116,True,True,"(1023, 116)",1344,12,1356,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_home_sign_in,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,I already have an account — take me to the login page.,"auth,home",1280,720,"[861, 10, 905, 29]",865,16,True,True,"(865, 16)",1345,10,1355,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_home_create_account,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Register a new customer account from the header.,"auth,home",1280,720,"[1141, 10, 1260, 29]",1196,15,True,True,"(1196, 15)",1341,11,1352,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_home_wishlist,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Open my saved wishlist from the top of the page.,"wishlist,home",1280,720,"[765, 10, 846, 29]",810,16,True,True,"(810, 16)",1343,10,1353,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_home_cart,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Open the shopping bag / cart icon in the header.,"cart,home",1280,720,"[1225, 71, 1260, 104]",1245,82,True,True,"(1245, 82)",1343,11,1354,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_home_electronics,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Browse the Electronics department from the main menu.,"browse,home",1280,720,"[382, 181, 490, 234]",425,156,False,True,"(425, 156)",1341,11,1352,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_home_video_games,home,C:/Proga/GUI2Model/data/target_app/eval/screenshots/home.png,Go to the Video Games category in the navigation bar.,"browse,home",1280,720,"[721, 181, 843, 234]",765,154,False,True,"(765, 154)",1343,11,1354,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_product_add_to_cart,product,C:/Proga/GUI2Model/data/target_app/eval/screenshots/product.png,Put this product into the cart.,"cart,product",1280,720,"[831, 516, 969, 568]",890,546,True,True,"(890, 546)",1339,11,1350,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_product_qty,product,C:/Proga/GUI2Model/data/target_app/eval/screenshots/product.png,Change how many units of this item I want to buy.,"product,qty",1280,720,"[764, 516, 816, 568]",768,542,True,True,"(768, 542)",1344,11,1355,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_product_wishlist,product,C:/Proga/GUI2Model/data/target_app/eval/screenshots/product.png,Save this item for later without buying it yet.,"wishlist,product",1280,720,"[764, 608, 870, 632]",806,625,True,True,"(806, 625)",1342,11,1353,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_product_compare,product,C:/Proga/GUI2Model/data/target_app/eval/screenshots/product.png,Add this product to the comparison list.,"product,compare",1280,720,"[874, 608, 980, 632]",916,625,True,True,"(916, 625)",1340,11,1351,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_login_email,login,C:/Proga/GUI2Model/data/target_app/eval/screenshots/login.png,Field where I enter my account email to sign in.,"auth,login",1280,720,"[176, 446, 625, 478]",176,459,True,True,"(176, 459)",1343,11,1354,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_login_password,login,C:/Proga/GUI2Model/data/target_app/eval/screenshots/login.png,Password input on the customer login form.,"auth,login",1280,720,"[176, 507, 625, 539]",176,521,True,True,"(176, 521)",1340,11,1351,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_login_forgot,login,C:/Proga/GUI2Model/data/target_app/eval/screenshots/login.png,I forgot my password — open the reset flow.,"auth,login",1280,720,"[290, 623, 438, 643]",356,639,True,True,"(356, 639)",1342,11,1353,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_contact_name,contact,C:/Proga/GUI2Model/data/target_app/eval/screenshots/contact.png,Where do I type my name on the Contact Us form?,"contact,form",1280,720,"[180, 441, 640, 473]",179,456,False,True,"(179, 456)",1344,11,1355,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_contact_phone,contact,C:/Proga/GUI2Model/data/target_app/eval/screenshots/contact.png,Phone number field on the contact form.,"contact,form",1280,720,"[180, 563, 640, 595]",179,582,False,True,"(179, 582)",1340,11,1351,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_adv_product_name,search_advanced,C:/Proga/GUI2Model/data/target_app/eval/screenshots/search_advanced.png,"On Advanced Search, filter by product title.","search,advanced",1280,720,"[180, 430, 640, 462]",180,450,True,True,"(180, 450)",1341,11,1352,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_adv_sku,search_advanced,C:/Proga/GUI2Model/data/target_app/eval/screenshots/search_advanced.png,Enter a SKU on the advanced search form.,"search,advanced",1280,720,"[180, 491, 640, 523]",136,509,False,True,"(136, 509)",1341,11,1352,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_cart_checkout,cart_with_item,C:/Proga/GUI2Model/data/target_app/eval/screenshots/cart_with_item.png,"From the cart page, continue to checkout.","cart,checkout",1280,720,"[990, 612, 1245, 664]",1115,643,True,True,"(1115, 643)",1341,12,1353,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_cart_remove,cart_with_item,C:/Proga/GUI2Model/data/target_app/eval/screenshots/cart_with_item.png,Delete this line item from the shopping cart.,cart,1280,720,"[103, 602, 227, 634]",149,623,True,True,"(149, 623)",1341,11,1352,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_cart_continue_shopping,cart_with_item,C:/Proga/GUI2Model/data/target_app/eval/screenshots/cart_with_item.png,Leave the cart and keep browsing the store.,cart,1280,720,"[20, 675, 205, 707]",106,695,True,True,"(106, 695)",1341,11,1352,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_minicart_view_cart,minicart_open,C:/Proga/GUI2Model/data/target_app/eval/screenshots/minicart_open.png,"In the mini-cart dropdown, open the full cart page (not checkout).","cart,minicart",1280,720,"[1021, 419, 1139, 438]",1075,430,True,True,"(1075, 430)",1347,12,1359,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_minicart_checkout,minicart_open,C:/Proga/GUI2Model/data/target_app/eval/screenshots/minicart_open.png,"From the open mini-cart, go straight to checkout.","cart,minicart,checkout",1280,720,"[916, 195, 1244, 247]",1075,220,True,True,"(1075, 220)",1343,12,1355,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_account_my_orders,account_logged_in,C:/Proga/GUI2Model/data/target_app/eval/screenshots/account_logged_in.png,"While logged in, open my past orders.","account,orders",1280,720,"[20, 307, 272, 337]",65,323,True,True,"(65, 323)",1341,10,1351,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
g_account_address_book,account_logged_in,C:/Proga/GUI2Model/data/target_app/eval/screenshots/account_logged_in.png,Manage saved shipping addresses in my account.,account,1280,720,"[20, 424, 272, 454]",513,556,False,True,"(513, 556)",1340,11,1351,1,"Sorry, I'm not able to provide an answer to that question.[no-context]"
